"22","CVRH-Macon","95","Entité racine > Centres de formation et écoles > CVRH-Macon",,"3","{""22"":""22""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"CVRH-Macon","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:02:56","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"23","CVRH-Nancy","95","Entité racine > Centres de formation et écoles > CVRH-Nancy",,"3","{""23"":""23""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"CVRH-Nancy","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:03:03","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"24","CVRH-Nantes","95","Entité racine > Centres de formation et écoles > CVRH-Nantes",,"3","{""24"":""24""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"CVRH-Nantes","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:03:12","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"25","CVRH-Paris","95","Entité racine > Centres de formation et écoles > CVRH-Paris",,"3","{""25"":""25""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"CVRH-Paris","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:03:19","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"26","CVRH-Rouen","95","Entité racine > Centres de formation et écoles > CVRH-Rouen",,"3","{""26"":""26""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"CVRH-Rouen","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:03:26","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"27","CVRH-Toulouse","95","Entité racine > Centres de formation et écoles > CVRH-Toulouse",,"3","{""27"":""27""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"CVRH-Toulouse","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:03:34","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"28","CVRH-Tours","95","Entité racine > Centres de formation et écoles > CVRH-Tours",,"3","{""28"":""28""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"CVRH-Tours","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:03:41","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"30","DAM","94","Entité racine > Hors périmètre > Autres services > DAM",,"4","{""30"":""30""}","{""0"":""0"",""94"":""94""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DAM","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:03:48","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"31","DEAL971","100","Entité racine > Outre-mer > DEAL971",,"3","{""31"":""31""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DEAL971","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:03:55","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"32","DEAL972","100","Entité racine > Outre-mer > DEAL972",,"3","{""32"":""32""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DEAL972","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:04:01","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"33","DEAL973","100","Entité racine > Outre-mer > DEAL973",,"3","{""33"":""33""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DEAL973","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:04:09","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"34","DEAL974","100","Entité racine > Outre-mer > DEAL974",,"3","{""34"":""34""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DEAL974","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:04:15","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"35","DEAL976","100","Entité racine > Outre-mer > DEAL976",,"3","{""35"":""35""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DEAL976","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:04:21","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"36","DIR-AT","97","Entité racine > Dir > DIR-AT",,"3","{""36"":""36""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIR-AT","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:04:30","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"37","DIR-CE","97","Entité racine > Dir > DIR-CE",,"3","{""37"":""37""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIR-CE","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:04:38","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"38","DIR-CO","97","Entité racine > Dir > DIR-CO",,"3","{""38"":""38""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIR-CO","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:04:45","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"39","DIR-EST","97","Entité racine > Dir > DIR-EST",,"3","{""39"":""39""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIR-EST","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:04:52","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"40","DIR-IF","97","Entité racine > Dir > DIR-IF",,"3","{""40"":""40""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIR-IF","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:04:58","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"41","DIR-MC","97","Entité racine > Dir > DIR-MC",,"3","{""41"":""41""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIR-MC","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:05:05","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"42","DIR-MED","97","Entité racine > Dir > DIR-MED",,"3","{""42"":""42""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIR-MED","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:05:12","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"43","DIR-ND","97","Entité racine > Dir > DIR-ND",,"3","{""43"":""43""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIR-ND","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:05:19","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
"44","DIR-NO","97","Entité racine > Dir > DIR-NO",,"3","{""44"":""44""}","[""0""]",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"DIR-NO","0",,,NULL,"-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2014-01-27 14:05:37","-2","0","-10",NULL,"-2","-2","-2","-2","-2","-2","-2","0","0","10","10","-2","-2"
